Title,ISBN,Author,Publisher_Place,Edition_Statement,Type_of_Material,Physical_Medium,Physical_Description,Subject
Asamiya sahityar samikhyatmak itibritra,NA,"Sarma, S","Guwahati, S P Publications, 1981",1st ed,Textual Document,Paper,"xx, 232p",Assamese literature; Literary criticism
Giridhar Sarma,NA,"Thakuria, R Ch","Jorhat, Assam Sahitya Sabha, 1980",1st ed,Textual Document,Paper,"x, 170p",Assamese literature; Biography
Karmayogi Giridhar Sarma,NA,Author :,"Guwahati, Radha Publications, 1979",1st ed,Textual Document,Paper,"xvi, 299p",Assamese literature; Biography; Essays; Critical Essays; Literary Essays
Good bie mr. six,NA,"Leshi, A","Guwahati, Lawyers Book Stall, 1988",1st ed,Textual Document,Paper,"xx, 232p",Assamese literature; Novel
Shikar nikar,NA,"Choudhury, P","Pathsala, Bani Prakashan, 1988",1st ed,Textual Document,Paper,"xx, 232p",Assamese literature; Novel
Meghali dupar,NA,"Bora, L","Calcutta, Bhumi Publishing Co, 1968",1st ed,Textual Document,Paper,109p,Assamese literature; Novel
Akash,NA,Author :,"Barpeta, P Das, 1969",1st ed,Textual Document,Paper,109p,Assamese literature; Poetry
Sahitya sanskriti prabah,NA,"Sarma, Jagyeswar","Guwahati, Guwahati Book Stall, 1973",1st ed,Textual Document,Paper,"x, 180p",Assamese literature; Literary article
Nariya rajar pariya,NA,"Sarma, Kailash","Guwahati, Prakashika, 1976",1st ed,Textual Document,Paper,"x, 180p",Assamese literature; Fiction
Asamiya bhasa,NA,"Neog, M","Jorhat, Asam Sahitya Sabha, 1968",1st ed,Textual Document,Paper,"x, 180p",Linguistics; Assamese language
Gurulila,NA,"Das, Ramrai","Barpeta, Patbausi Satra, 1984",1st ed,Textual Document,Paper,"x, 180p",Assamese literature; Poetry
Sri Sri Madhabdev,NA,"Das, Gadadhar","Barpeta, Sankardev Chitra Pratisthan, 1986",1st ed,Textual Document,Paper,112p,Assamese literature; Drama
Pabitra kahinir samalay,NA,"Mahanta, Dimbeswar","Sonari, K P Barua, 1985",1st ed,Textual Document,Paper,112p,Assamese literature; Short story
Gal bhasa,NA,"Barua, Yadav Chandra","Guwahati, New Book Stall, 1970",1st ed,Textual Document,Paper,"vii, 250p",Linguistics; Assamese dictionary
Charan-dhuli,NA,"Mahanta, Mitradev","Dibrugarh, Bani Mandir, 1955",1st ed,Textual Document,Paper,112p,Assamese literature; Drama
Maharani,NA,"Das, Narayan","Guwahati, Alpana Prakashan, 1978",1st ed,Textual Document,Paper,112p,Assamese literature; Novel
Alahi sarair desh,NA,"Das, Jivan","Golaghat, Puthitirtha Prakashan, 1989",1st ed,Textual Document,Paper,"xv, 350p",Assamese literature; Literary essay
Babar naama,NA,"Sarma, Muktinath","Guwahati, Guwahati Book Stall, 1977",1st ed,Textual Document,Paper,"vii, 246p",Assamese literature; Autobiography
Bishad sindhu,NA,"Datta Barua, K N","Guwahati, Lawyers Book Stall, 1993",1st ed,Textual Document,Paper,"vii, 246p",Assamese literature; Literary essay
Bilatoto,NA,"Goswami, P D","Guwahati, Lawyers Book Stall, 1959",1st ed,Textual Document,Paper,"vii, 246p",Assamese literature; Literary essay
Cha jui khedi,NA,"Das, Jogesh","Guwahati, Guwahati Book Stall, 1969",1st ed,Textual Document,Paper,"vii, 246p",Assamese literature; Novel
Natun sansar,NA,"Barthakur, Kokheswar","Jorhat, S N Barthakur, 1955",1st ed,Textual Document,Paper,"vii, 246p",Assamese literature; Novel
Prabandha saptak,NA,"Borah, Mahendra","Guwahati, University Publication Department Gauhati University, 1992",1st ed,Textual Document,Paper,"viii, 50p",Assamese literature; Literary essay
Linkanar deshat atithi,NA,"Bargohain, Pradipta","Guwahati, Jyoti Prakashan, 1999",1st ed,Textual Document,Paper,"viii, 50p",Assamese literature; Assamese essay
Bacharar galpa,NA,"Shah, Imran","Sivasagar, Imran Shah, 1965",1st ed,Textual Document,Paper,"viii, 50p",Assamese literature; Story-collection
Chabilal Upadhyay,NA,"Upadhyay, Bishnulal","Guwahati, Lawyers Book Stall, 1990",1st ed,Textual Document,Paper,"x, 250p",Assamese literature; Biography
Apardh jagater bhasa,NA,"Mallik, B","Calcutta, Nababharat Publishers, 1978",1st ed,Textual Document,Paper,"x, 250p",Linguistics; Assamese language
Panchapandava,NA,"Lahkar, Shanti Ram",Publisher & Place :,1st ed,Textual Document,Paper,"x, 250p",Assamese literature; Story
Manuhe jalai deep manuhar babe,NA,"Das, Kumar Anukul","Guwahati, Das Prakashan, 1998",1st ed,Textual Document,Paper,"xv, 210p",Assamese literature; Biography
Bharatiya Chinta,NA,"Sastra, B N","Guwahati, Assam Prakashan Parishad, 1960",1st ed,Textual Document,Paper,"ii,157p",Assamese literature; Literary essay
Kaliram Medhi,NA,"Talukdar, Nanda","Guwahati, Bina Library, 1978",1st ed,Textual Document,Paper,"vii, 143p",Assamese literature; Biography
Suti galpa sankalan,NA,"Sarma, Giridhar; Sarma, Hemanta Kumar","Guwahati, Oriental Book Agency, 1959",1st ed,Textual Document,Paper,"iv, 130p",Assamese literature; Story collection
Adhunik galpa sahitya,NA,"Goswami, Trailokya Nath","Guwahati, Lawyers Book Stall, 1972",2nd ed,Textual Document,Paper,"iv, 130p",Assamese literature; Literary criticism
Chetana,NA,"Piar, Alimunnisha","Guwahati, Piar Prakashan, 1979",1st ed,Textual Document,Paper,"iv, 130p",Assamese literature; Poetry
Kebal manuhar ase gan,NA,"Gohain, Hiren",Publisher & Place :,1st ed,Textual Document,Paper,70p,Assamese literature; Literary essay
Hemchandra Goswamir rachanawali,NA,"Sarma, Benudhar","Jorhat, Assam Sahitya Sabha, 1972",1st ed,Textual Document,Paper,70p,Assamese literature; Literary collection
Nepolean Bonaparte,NA,"Barkataki, Satyan","Calcutta, Bhumi Publishing Co, 1974",1st ed,Textual Document,Paper,70p,Assamese literature; Biography
"Bhasa, sahitya ityadi",NA,"Bora, Hem","Guwahati, Chandra Prakashan, 1997",2nd ed,Textual Document,Paper,70p,Assamese literature; Literary article
Guwahati gabharu hol,NA,"Barman, Phulen","Goalpara, Papari Prakashan, 1989",1st ed,Textual Document,Paper,70p,Assamese literature; Novel
Adbhut Ramayana,NA,"Barua, Birinchi Kumar",Publisher & Place :,1st ed,Textual Document,Paper,70p,Assamese literature; Literary essay
Sankarattar gita samkalan,NA,"Goswami, Kesavananda Dev","Dibrugarh, Dibrugarh University, 1980",1st ed,Textual Document,Paper,166p,Assamese literature; Poetry collection
Swarnarekha,NA,"Das, Chandra Mohan","Guwahati, Guwahati Book Stall, 1971",1st ed,Textual Document,Paper,166p,Assamese literature; Fiction
Ange ange sobha,NA,"Choudhury, Nirod","Guwahati, Lawyers Book Stall, 1964",1st ed,Textual Document,Paper,166p,Assamese literature; Novel
Mahakavyik thas aru natak,NA,"Sarma, Binod","Guwahati, Barua Agency, 1986",1st ed,Textual Document,Paper,"xii, 325p",Assamese literature; Literary essay
Debabhumi Badrinathar para Devi Kanyakumari,NA,"Kataki, Nirupama","Guwahati, N Kataki, 1973",1st ed,Textual Document,Paper,330p,Assamese literature
Medical college,NA,"Sarma, Pranab Kumar","Guwahati, Guwahati Book Stall, 1996",1st ed,Textual Document,Paper,330p,Assamese literature; Novel
Sadari,NA,"Choudhary, Raghunath","Pathsala, Bani Prakashan, 1966",1st ed,Textual Document,Paper,330p,Assamese literature; Poetry
Sendur,NA,"Saikia, Bhabendra Nath","Guwahati, Lawyers Book Stall, 1975",2nd ed,Textual Document,Paper,441p,Assamese literature; Fiction
Bhatima aru gunamala,NA,Sankardeva,"Nalbari, Dutta Baruah & Co, 1955",1st ed,Textual Document,Paper,441p,Assamese literature; Poetry
Anua jonali nisha,NA,"Devi, Anupama","Nalbari, Dutta Baruah & Co, 1940",1st ed,Textual Document,Paper,441p,Assamese literature; Novel
Jeevani-chayan,NA,"Sarma, Durgeswar","Guwahati, New Book Stall, 1970",1st ed,Textual Document,Paper,441p,Assamese literature
Bimala Prasad Chaliha,NA,"Saikia, Chandra Prasad","Guwahati, Assam Prakashan Parishad, 1972",1st ed,Textual Document,Paper,"x,171p",Assamese literature; Biography
Natun kabita,NA,"Borah, Mahendra",Publisher & Place :,1st ed,Textual Document,Paper,441p,Assamese literature; Poetry
Akash tarar pradip najalaba,NA,"Dutt Barua, Bhabendra","Nalbari, Dutta Baruah & Co, 1967",1st ed,Textual Document,Paper,79p,Assamese literature; Poetry
Dharma tatta,NA,"Jam, Dandidhar","[S.l.], [s.n.], 1930",1st ed,Textual Document,Paper,79p,Assamese literature
Kendra Sabha,NA,"Bora, Satyanath","Guwahati, Barua Agency, 1978",1st ed,Textual Document,Paper,"xiv, 135p",Assamese literature; Literary essay; Assamese Essays
Pahari chanda,NA,"Maum, Samacet","Guwahati, Dutta Baruah & Co, 1971",1st ed,Textual Document,Paper,"xiv, 135p",Assamese literature; Novel
Bislyakarani,NA,"Goswami, Anil","Nagaon, Nagaon Stores, 1971",1st ed,Textual Document,Paper,"xiv, 135p",Assamese literature; Fiction
Gan point,NA,"Kalita, Satyaranjan","Calcutta, [s.n.], 1976",1st ed,Textual Document,Paper,"xiv, 135p",Assamese literature; Novel
Ambikagiri Raychoudhury smritigrantha,NA,Author :,"Jorhat, Assam Sahitya Sabha, 1968",1st ed,Textual Document,Paper,"xiv, 272p",Assamese literature; Biographical essays
Pachowar rengani,NA,"Barua, H","Assam, Mitra Agency, 1969",1st ed,Textual Document,Paper,194p,Assamese literature; Literary essay
Geetawali,NA,"Pathak, K N","[S.l.], [s.n.], 1984",1st ed,Textual Document,Paper,"xv, 382p",Assamese literature; Poetry
Asamat Mahatma,NA,"Saikia, C P","Guwahati, Assam Prakashan Parishad, 1969",1st ed,Textual Document,Paper,"x, 188p",Assamese literature; Biography
Ram jeuti,NA,"Borthakur, Indreswar","Guwahati, Lawyers Book Stall, 1983",1st ed,Textual Document,Paper,"x, 188p",Assamese literature; Poetry
Gangya Govinda Phukan,NA,"Sengupta, S P","Guwahati, Assam Jyoti, 1966",1st ed,Textual Document,Paper,"iv, 80p",Assamese literature; Biography
Phulkowarar pakhighare,NA,"Bhattacharya, B K","Guwahati, Lawyers Book Stall, 1988",1st ed,Textual Document,Paper,"vi, 123p",Assamese literature; Fiction
Kendra sabha,NA,"Baruah, Badan","Guwahati, Barua Agency, 1969",1st ed,Textual Document,Paper,"vi, 123p",Assamese literature; Literary essay
Nayika,NA,"Hazarika, Ghana","Guwahati, Guwahati Book Stall, 1971",1st ed,Textual Document,Paper,"vi, 123p",Assamese literature; Fiction
"Asomiya, bhasa, sahitya aru sanskriti",NA,"Bharali, Sailen","Guwahati, Chandra Prakashan, 1996",1st ed,Textual Document,Paper,"vii, 138p",Assamese literature; Literary essay
Nabakanta Baruar gharua mel,NA,"Sarma, Suresh","Guwahati, Lawyers Book Stall, 1994",1st ed,Textual Document,Paper,"vii, 138p",Assamese literature; Biography
Sahityikar sadhana,NA,Saumar,"Guwahati, Pragjyotishpur Prakash Bhawan, 1998",1st ed,Textual Document,Paper,"vii, 138p",Assamese literature; Fiction
Astittar sikali,NA,"Saikia, Nagen","Guwahati, Guwahati Book Stall, 1976",1st ed,Textual Document,Paper,"vii, 138p",Assamese literature; Short story
Robin Hood,NA,"Das, Jogesh","Guwahati, Asom Prakashan Parishad, 1978",1st ed,Textual Document,Paper,"vii, 138p",Assamese literature; Biography
Kal-saitanya,NA,"Sarma, Kailash","Nalbari, Sri Krishna Puthibharal, 1998",1st ed,Textual Document,Paper,"vii, 138p",Assamese literature; Poetry
Swapna samadhi,NA,"Borah, Dimbeswar","Guwahati, Jyoti Prakashan, 1996",1st ed,Textual Document,Paper,"vii, 138p",Assamese literature; Fiction
Denmark,NA,"Sarma, Dharmadatta","Calcutta, Asom Book Depot, 1967",2nd ed,Textual Document,Paper,"vii, 138p",Assamese literature; Story
Aadmi kaa major,NA,"Phukan, Tirtha","Guwahati, Kamalesh Publication, 1976",1st ed,Textual Document,Paper,199p,Assamese literature; Literary essay
Asamat netrityar itihashar kalankita adhyaya,NA,"Bujarbarua, R N","Barbari Satra, R Ch Goswami, 1985",1st ed,Textual Document,Paper,199p,Assamese literature; Literary essay
Smriti rekha,NA,"Sil, U N","Guwahati, Gyanoday Book Stall, 1971",1st ed,Textual Document,Paper,119p,Assamese literature; Poetry
Sivasagar natya samajor itibritta,NA,"Bharali, Sahajananda","Guwahati, S Bharali, 2006",1st ed,Textual Document,Paper,313p,Assamese literature; Literary history
Natun pranot baje pranayar sur,NA,"Bhagawati, Gurudatta","Shillong, Gyanashri Prakasalay, 1963",1st ed,Textual Document,Paper,313p,Assamese literature; Story
Prabandha bichitra,NA,"Das, Chandra Mohan","Assam, Sonali Sahitya Prakash, 1983",1st ed,Textual Document,Paper,313p,Assamese literature; Literary articles
Parbator rupali jonak,NA,"Das, Tilak","Guwahati, Oriental Book Agency, 1966",1st ed,Textual Document,Paper,313p,Assamese literature; Fiction
Satikar abhilekh,NA,"Barthakur, Rama","Calcutta, Sanyal and Company, 1980",1st ed,Textual Document,Paper,313p,Assamese literature
Bhishmabani,NA,"Talukdar, Sonaram","Guwahati, P Hazarika, 1996",1st ed,Textual Document,Paper,313p,Assamese literature; Story
Theiz,NA,"Fra, Anatole","Guwahati, Dutta Baruah & Co, 1964",1st ed,Textual Document,Paper,313p,Assamese literature; Fiction
Adhunik asamiya galpa sangrah,NA,"Goswami, T N","Guwahati, Sahitya Akademi, 1972",1st ed,Textual Document,Paper,"vi, 97p",Assamese literature; Story collection
Asomiya premar galpa,NA,"Choudhury, Nirode","Guwahati, Lawyers Book Stall, 1964",1st ed,Textual Document,Paper,"vi, 97p",Assamese literature; Short story
Jorhatar golap phul,NA,"Barua, Badan","Guwahati, Lawyers Book Stall, 1993",1st ed,Textual Document,Paper,"vi, 97p",Assamese literature; Literary articles
Rupalim,NA,"Agarwala, Jyotiprasad","Jorhat, Assam Prakashan Parishad, 1987",1st ed,Textual Document,Paper,"vi, 97p",Assamese literature; Drama
Banti-shikha,NA,"Goswami, Hemnalini","Guwahati, Lawyers Book Stall, 1968",1st ed,Textual Document,Paper,"vi, 97p",Assamese literature; Fiction
Uddin uttaria,NA,"Datta, Parijat","Guwahati, Sahitya Prakashan, 1993",1st ed,Textual Document,Paper,"vi, 97p",Assamese literature; Fiction
Paap aru parachit,NA,"Nath, Bimal","Guwahati, Granthapeeth, 1987",2nd ed,Textual Document,Paper,"vi, 97p",Assamese literature; Fiction
Swarna swakhar,NA,"Bora, Padma","Guwahati, Alaka Prakash, 1971",1st ed,Textual Document,Paper,"vi, 97p",Assamese literature; Fiction
Smritimukhar Europe,NA,"Barua, S K","Guwahati, Granthaloy, 1971",1st ed,Textual Document,Paper,"vi, 97p",Assamese literature; Story
Mahir pratiddhani,NA,"Das, Amiya Kumar","Guwahati, Assam Prakashan Parishad, 1964",1st ed,Textual Document,Paper,"x,171p",Assamese literature; Fiction
Asamiya kabitar chanda,NA,"Borah, Mahendra","Guwahati, Lawyers Book Stall, 1962",1st ed,Textual Document,Paper,"x,171p",Assamese literature; Poetry
Apaharan,NA,Stephenson,"Guwahati, Rishi Enterprise, 1990",1st ed,Textual Document,Paper,"x,171p",Assamese literature
Ratneswar Mahanta rachanawali,NA,"Bhuyan, J","Guwahati, Assam Prakashan Parishad, 1995",1st ed,Textual Document,Paper,"x,171p",Assamese literature; Literary collection; Ratneswar Mahanta
Mahakavik thach aru natak,NA,"Sarma, Binod","Guwahati, Barua Agency, 1986",1st ed,Textual Document,Paper,"x,171p",Assamese literature; Drama collection
Pratham raja aru asampurna,NA,"Mathur, J","New Delhi, National Book Trust, 1980",1st ed,Textual Document,Paper,"x,171p",Assamese literature; Drama
Ishvar purus Shri Shri Madhavdeva,NA,"Bora, Y","Lakhimpur, B N Phukan, 1995",1st ed,Textual Document,Paper,"x,171p",Assamese literature; Biography
Biyering chithi,NA,"Gogoi, Leela","Dibrugarh, Banalata, 1976",1st ed,Textual Document,Paper,477p,Assamese literature; Humourous essay
Gitawali,NA,"Goswami, N N Deb","Guwahati, N N Deb Goswami, 1969",1st ed,Textual Document,Paper,477p,Assamese literature; Poetry
Karagarar chithi aru 15 august,NA,Tayabulla,"Guwahati, Tayyabulla, 1962",1st ed,Textual Document,Paper,"vii, 190p",Assamese literature; Fiction
Frankenstein,NA,"Shalley, Marry","Guwahati, Lawyers Book Stall, 1996",1st ed,Textual Document,Paper,"vii, 190p",Assamese literature; Fiction
Sugandhi pakhila,NA,"Bhattacharyya, Hiren","Guwahati, Prakashika, 1985",2nd ed,Textual Document,Paper,"vii, 190p",Assamese literature; Poetry
Sankardevar geet sankalan,NA,"Goswami, Kesavananda Dev","Dibrugarh, M Bora, 1980",1st ed,Textual Document,Paper,"vii, 190p",Assamese literature; Poetry collection
Mahanta sambatsarar kahini,NA,"Nath, Bharatchandra","Mangaldoi, N Medhi, 1989",1st ed,Textual Document,Paper,"vii, 190p",Assamese literature; Biography
Bagarambar,NA,"Hazarika, Jyotimoy","Guwahati, Bani Mandir, 1995",1st ed,Textual Document,Paper,"vii, 190p",Assamese literature; Literary essay
Madhur milan,NA,"Choudhary, S N","Guwahati, Lawyers Book Stall, 1980",1st ed,Textual Document,Paper,"vii, 190p",Assamese literature; Drama
Kusum subash,NA,"Chutia, Ram Ch","[S.l.], K Chutia, 1984",1st ed,Textual Document,Paper,"vi, 43p",Assamese literature; Fiction
Katha Ramayan,NA,"Sarma, Mahadev","Tezpur, M Sarma, 1980",1st ed,Textual Document,Paper,"vii, 190p",Assamese literature
Prabandha mala,NA,"Singha, Kaliprasad","Silchar, Aja Babai Sen Prakashan, 1983",1st ed,Textual Document,Paper,"vii, 189p",Assamese literature; Literary articles
Kumayunar bhraman kahini,NA,"Kataki, N","Guwahati, S Kataki, 1955",1st ed,Textual Document,Paper,163p,Assamese literature; Literary essay
Bairi manuh,NA,"Deka, H","[S.l.], [s.n.], 1983",1st ed,Textual Document,Paper,163p,Assamese literature; Fiction
Kaliram Medhi rachanabali,NA,"Medhi, Kaliram","Jorhat, Asom Sahitya Sabha, 1979",1st ed,Textual Document,Paper,"xiii, 766p",Assamese literature; Literary collection; Kaliram Medhi
Nirbachita prabandha punja,NA,"Talukdar, Gopikanta","Guwahati, Jatiya Sahitya Parishad, 1989",1st ed,Textual Document,Paper,"xiii, 766p",Assamese literature; Literary article
Kuri satikar Asamiya sahitya,NA,"Phukan, Nilmoni","Guwahati, Asom Prakashan Parishad, 1977",1st ed,Textual Document,Paper,"xiii, 766p",Assamese literature
Januneswari khataniyarar rachanawali,NA,"Khataniyar, S Ch","Guwahati, S C Khataniyar, 1998",1st ed,Textual Document,Paper,"xiii, 766p",Assamese literature
Bhasor kahini,NA,"Sarma, Thaneswar","Guwahati, Guwahati Book Stall, 1983",1st ed,Textual Document,Paper,"xiii, 766p",Assamese literature; Short story
Sonair sot,NA,"Mahanta, Prafulla","Guwahati, Jan Jagruti Prakashan, 1983",1st ed,Textual Document,Paper,"xiii, 766p",Assamese literature; Fiction
Hatam Tai,NA,"Bordoloi, N Ch","Guwahati, H K Devi, 1961",1st ed,Textual Document,Paper,"xiii, 766p",Assamese literature; Fiction
Rupa shri nibason,NA,"Gogoi, M P","Guwahati, Lawyers Book Stall, 1996",1st ed,Textual Document,Paper,"vii, 140p",Assamese literature; Fiction
Kabitar sarai,NA,"Das, B","Kamrup, Jugasmitra Publication, 1975",1st ed,Textual Document,Paper,"vii, 140p",Assamese literature; Poetry
Bezbaruar dinalekha,NA,"Neog, M","Jorhat, N Saikia, 1976",1st ed,Textual Document,Paper,"vii, 140p",Assamese literature
Ramani shaki,NA,"Bhattacharya, H","Guwahati, Sewa Kutir, 1965",1st ed,Textual Document,Paper,186p,Assamese literature; Drama
Jana sanskritir rasmin rekha part I,NA,"Buragohain, Hem","Sibsagar, Hem Buragohain, 1977",1st ed,Textual Document,Paper,"iii, 375p",Assamese literature; Articles
Ranga mancha,NA,"Barua, K P","Guwahati, K P Barua, 1979",1st ed,Textual Document,Paper,"iii, 375p",Assamese literature; Drama
Bibhinnajanar dristit Munin Barkotoki,NA,"Barkotoki, Upendra","Guwahati, Bhattacharjee & A K Bhattacharjee, 1994",1st ed,Textual Document,Paper,"xi, 323p",Assamese literature; Articles
Malar madhyamere bijnan-abhijan,NA,"Sharma, S P","Guwahati, Pampa Prakash, 1992",1st ed,Textual Document,Paper,"xi, 323p",Assamese literature; Performing arts
Bideshi paribrajakar drstit bharat,NA,"Khanna, K C","New Delhi, National Book Trust, 1972",1st ed,Textual Document,Paper,"xi, 323p",Assamese literature
Asomiya gadya sahityar gati path,NA,"Daloi, H.N","Barpeta, S Devi, 1992",1st ed,Textual Document,Paper,160p,Assamese literature
